Q(A^-1),I(Q)
2.159999999999999976e-01,4.880270100000000388e-02
2.179999999999999993e-01,4.605780799999997788e-02
2.200000000000000011e-01,4.738777999999999047e-02
2.220000000000000029e-01,4.590095799999999171e-02
2.240000000000000047e-01,4.319399000000001543e-02
2.260000000000000064e-01,4.332276199999995914e-02
2.280000000000000082e-01,4.392976000000003989e-02
2.300000000000000100e-01,4.310875000000002899e-02
2.320000000000000118e-01,3.813359799999999078e-02
2.340000000000000135e-01,4.213711199999997659e-02
2.359999999999999876e-01,4.198503600000003111e-02
2.379999999999999893e-01,3.942498500000002348e-02
2.399999999999999911e-01,3.768595099999999531e-02
2.419999999999999929e-01,3.966661900000001406e-02
2.439999999999999947e-01,3.774347200000000013e-02
2.459999999999999964e-01,3.463944499999999094e-02
2.479999999999999982e-01,3.754548400000001784e-02
2.500000000000000000e-01,3.611307299999999554e-02
2.520000000000000018e-01,3.400375900000002227e-02
2.540000000000000036e-01,3.446877999999997666e-02
2.560000000000000053e-01,3.511215199999995207e-02
2.580000000000000071e-01,3.616544100000002038e-02
2.600000000000000089e-01,3.530644799999999028e-02
2.620000000000000107e-01,3.605586399999999303e-02
2.640000000000000124e-01,3.387408699999999717e-02
2.660000000000000142e-01,3.336523900000004650e-02
2.680000000000000160e-01,3.148843800000000748e-02
2.700000000000000178e-01,3.175397699999998880e-02
2.720000000000000195e-01,3.043408699999999856e-02
2.740000000000000213e-01,2.993955200000003591e-02
2.760000000000000231e-01,2.970639400000002484e-02
2.780000000000000249e-01,2.966348699999998839e-02
2.800000000000000266e-01,2.879169100000000814e-02
2.819999999999999729e-01,2.765764300000000953e-02
2.839999999999999747e-01,2.704675099999998000e-02
2.859999999999999765e-01,2.829083500000001417e-02
2.879999999999999782e-01,2.625386100000004497e-02
2.899999999999999800e-01,2.709209200000001205e-02
2.919999999999999818e-01,2.762967300000002124e-02
2.939999999999999836e-01,2.373438199999999831e-02
2.959999999999999853e-01,2.692604599999998127e-02
2.979999999999999871e-01,2.595531899999997671e-02
2.999999999999999889e-01,2.684185900000002345e-02
3.039999999999999925e-01,2.463739100000000848e-02
3.079999999999999960e-01,2.412516700000000291e-02
3.119999999999999996e-01,2.264497500000001162e-02
3.160000000000000031e-01,2.431223700000001431e-02
3.200000000000000067e-01,2.235730699999999294e-02
3.240000000000000102e-01,2.067679199999999939e-02
3.280000000000000138e-01,2.033739800000000653e-02
3.320000000000000173e-01,2.055380100000003818e-02
3.360000000000000209e-01,2.034712999999999106e-02
3.400000000000000244e-01,1.968516300000000552e-02
3.439999999999999725e-01,2.043486999999999387e-02
3.479999999999999760e-01,1.955112700000000148e-02
3.519999999999999796e-01,2.043397700000004757e-02
3.559999999999999831e-01,1.863367100000001830e-02
3.599999999999999867e-01,1.849722100000000813e-02
3.639999999999999902e-01,1.942381599999998265e-02
3.679999999999999938e-01,1.821485299999997531e-02
3.719999999999999973e-01,1.962807399999999536e-02
3.760000000000000009e-01,2.048663900000002869e-02
3.800000000000000044e-01,2.083237799999998474e-02
3.840000000000000080e-01,2.103074500000001734e-02
3.880000000000000115e-01,2.435858699999998711e-02
3.920000000000000151e-01,2.563217100000003690e-02
3.960000000000000187e-01,2.579014099999998866e-02
4.000000000000000222e-01,2.428545300000001239e-02
4.040000000000000258e-01,2.603268800000002603e-02
4.079999999999999738e-01,2.444794499999997095e-02
4.119999999999999774e-01,2.366052499999998782e-02
4.159999999999999809e-01,2.326224999999998433e-02
4.199999999999999845e-01,2.065927600000000419e-02
4.239999999999999880e-01,2.031424400000003683e-02
4.279999999999999916e-01,1.994323199999997742e-02
4.319999999999999951e-01,1.843799499999998481e-02
4.359999999999999987e-01,1.709093100000003140e-02
4.400000000000000022e-01,1.616674300000003894e-02
4.440000000000000058e-01,1.720081800000000660e-02
4.480000000000000093e-01,1.934938499999999673e-02
4.520000000000000129e-01,1.867356400000003136e-02
4.560000000000000164e-01,1.879244499999999096e-02
4.600000000000000200e-01,1.731424399999997865e-02
4.640000000000000235e-01,1.972381000000000828e-02
4.680000000000000271e-01,2.064507400000004100e-02
4.719999999999999751e-01,1.906334700000000826e-02
4.759999999999999787e-01,2.028191699999998265e-02
4.799999999999999822e-01,2.047909199999997654e-02
4.839999999999999858e-01,1.927209900000004250e-02
4.879999999999999893e-01,2.131436399999997455e-02
4.919999999999999929e-01,2.125743199999996502e-02
4.959999999999999964e-01,2.341835400000003009e-02
5.000000000000000000e-01,2.390624499999999264e-02
5.040000000000000036e-01,2.166235999999999162e-02
5.080000000000000071e-01,2.297626099999999782e-02
5.120000000000000107e-01,2.274707300000000654e-02
5.160000000000000142e-01,2.414065200000004019e-02
5.200000000000000178e-01,2.368003200000001751e-02
5.240000000000000213e-01,2.353937200000000285e-02
5.280000000000000249e-01,2.482195700000000560e-02
5.320000000000000284e-01,2.600146999999997099e-02
5.360000000000000320e-01,2.524835999999996972e-02
5.400000000000000355e-01,2.486226600000002174e-02
5.440000000000000391e-01,2.677147800000001521e-02
5.480000000000000426e-01,2.800136300000000134e-02
5.520000000000000462e-01,2.415950999999999516e-02
5.560000000000000497e-01,2.704368700000003845e-02
5.600000000000000533e-01,2.763663600000004772e-02
5.639999999999999458e-01,2.813965100000004327e-02
5.679999999999999494e-01,2.911247599999999824e-02
5.719999999999999529e-01,2.768079000000001066e-02
5.759999999999999565e-01,3.018474500000001282e-02
5.799999999999999600e-01,2.992403500000001548e-02
5.839999999999999636e-01,2.853937899999997585e-02
5.879999999999999671e-01,2.892722699999999980e-02
5.919999999999999707e-01,3.024905899999996706e-02
5.959999999999999742e-01,2.910824600000000428e-02
5.999999999999999778e-01,3.079459799999995084e-02
6.039999999999999813e-01,3.133727099999999988e-02
6.079999999999999849e-01,3.244503399999998372e-02
6.119999999999999885e-01,3.135600500000002011e-02
6.159999999999999920e-01,3.160880799999998825e-02
6.199999999999999956e-01,3.179576400000000413e-02
6.239999999999999991e-01,3.303186399999996636e-02
6.280000000000000027e-01,3.269721799999997236e-02
6.320000000000000062e-01,3.420405199999998480e-02
6.360000000000000098e-01,3.154228500000000324e-02
6.400000000000000133e-01,3.516611499999999779e-02
6.440000000000000169e-01,3.326890099999996186e-02
6.480000000000000204e-01,3.377510499999997196e-02
6.520000000000000240e-01,3.387160100000002894e-02
6.560000000000000275e-01,3.408357499999997708e-02
6.600000000000000311e-01,3.317843500000000612e-02
6.640000000000000346e-01,3.362844100000000891e-02
6.680000000000000382e-01,3.486545400000001793e-02
6.720000000000000417e-01,3.612613399999997643e-02
6.760000000000000453e-01,3.510323500000001040e-02
6.800000000000000488e-01,3.317199100000001177e-02
6.840000000000000524e-01,3.546378799999999609e-02
6.879999999999999449e-01,3.621866600000001046e-02
6.919999999999999485e-01,3.743311299999996233e-02
6.959999999999999520e-01,3.480802599999999192e-02
6.999999999999999556e-01,3.655944599999999545e-02
7.039999999999999591e-01,3.699395600000005002e-02
7.079999999999999627e-01,3.489558200000003607e-02
7.119999999999999662e-01,3.693908100000004024e-02
7.159999999999999698e-01,3.603845599999999649e-02
7.199999999999999734e-01,3.659961699999997320e-02
7.239999999999999769e-01,3.556090200000000534e-02
7.279999999999999805e-01,3.893653000000002473e-02
7.319999999999999840e-01,3.329784299999999364e-02
7.359999999999999876e-01,3.650992599999997035e-02
7.399999999999999911e-01,3.784686399999998008e-02
7.439999999999999947e-01,3.642715499999998885e-02
7.479999999999999982e-01,3.455772000000001398e-02
7.520000000000000018e-01,3.512306900000000676e-02
7.560000000000000053e-01,3.331268799999997920e-02
7.600000000000000089e-01,3.661235699999998428e-02
7.640000000000000124e-01,3.492215900000000817e-02
7.680000000000000160e-01,3.631177200000001992e-02
7.720000000000000195e-01,3.461648900000002804e-02
7.760000000000000231e-01,3.548839700000000486e-02
7.800000000000000266e-01,3.438072300000000192e-02
7.840000000000000302e-01,3.398810200000002002e-02
7.880000000000000338e-01,3.589661700000001954e-02
7.920000000000000373e-01,3.518097800000002939e-02
