Q(A^-1),I(Q)
5.440000000000000391e-01,4.455618799999999657e-02
5.480000000000000426e-01,4.460406199999999988e-02
5.520000000000000462e-01,4.574297499999996353e-02
5.560000000000000497e-01,4.296428099999999306e-02
5.600000000000000533e-01,4.442908899999997718e-02
5.639999999999999458e-01,4.527507899999999585e-02
5.679999999999999494e-01,4.222385699999997577e-02
5.719999999999999529e-01,4.298269900000001309e-02
5.759999999999999565e-01,4.454575599999999191e-02
5.799999999999999600e-01,4.250243500000000507e-02
5.839999999999999636e-01,4.333696600000003230e-02
5.879999999999999671e-01,4.052220600000000506e-02
5.919999999999999707e-01,3.978244999999996923e-02
5.959999999999999742e-01,4.237491700000001194e-02
5.999999999999999778e-01,4.151508599999997884e-02
6.039999999999999813e-01,4.039314700000001812e-02
6.079999999999999849e-01,4.123778299999997232e-02
6.119999999999999885e-01,3.967854399999998227e-02
6.159999999999999920e-01,4.015352799999999389e-02
6.199999999999999956e-01,3.899945100000001830e-02
6.239999999999999991e-01,3.740094299999996430e-02
6.280000000000000027e-01,3.753044099999996996e-02
6.320000000000000062e-01,3.761921099999998575e-02
6.360000000000000098e-01,3.796861800000000953e-02
6.400000000000000133e-01,3.742437700000000866e-02
6.440000000000000169e-01,3.565436700000002013e-02
6.480000000000000204e-01,3.639013599999996185e-02
6.520000000000000240e-01,3.392748900000003287e-02
6.560000000000000275e-01,3.507048199999995841e-02
6.600000000000000311e-01,3.490757900000002190e-02
6.640000000000000346e-01,3.618215000000002401e-02
6.680000000000000382e-01,3.331870599999997573e-02
6.720000000000000417e-01,3.373452399999998796e-02
6.760000000000000453e-01,3.315784400000004739e-02
6.800000000000000488e-01,3.193537099999999018e-02
6.840000000000000524e-01,2.985778199999999938e-02
6.879999999999999449e-01,3.133825699999998049e-02
6.919999999999999485e-01,3.031492500000004808e-02
6.959999999999999520e-01,2.820640199999996378e-02
6.999999999999999556e-01,2.980918999999998542e-02
7.039999999999999591e-01,2.827631299999999737e-02
7.079999999999999627e-01,2.803992500000002108e-02
7.119999999999999662e-01,2.753622699999996870e-02
7.159999999999999698e-01,2.892368400000000506e-02
7.199999999999999734e-01,2.787842699999998342e-02
7.239999999999999769e-01,2.740295500000000661e-02
7.279999999999999805e-01,3.004763599999998869e-02
7.319999999999999840e-01,2.560726299999999123e-02
7.359999999999999876e-01,2.736553600000002362e-02
7.399999999999999911e-01,2.515481699999999599e-02
7.439999999999999947e-01,2.606266099999998698e-02
7.479999999999999982e-01,2.509068599999997318e-02
7.520000000000000018e-01,2.295617199999999691e-02
7.560000000000000053e-01,2.483604000000000367e-02
7.600000000000000089e-01,2.364563599999996990e-02
7.640000000000000124e-01,2.341842399999999325e-02
7.680000000000000160e-01,2.256236499999997314e-02
7.720000000000000195e-01,2.459349699999996419e-02
